,values,Group,Cluster
551,-0.946254827288526,Naive,Cluster 1
552,-0.771209649655237,Naive,Cluster 1
553,-0.794983471866463,Naive,Cluster 1
554,-0.115872525299396,Naive,Cluster 1
555,-0.940128810787952,Naive,Cluster 1
556,-0.482067387829402,Naive,Cluster 1
557,-0.687616020251287,Naive,Cluster 1
558,-0.93642370846392,Naive,Cluster 1
559,-1.22910050779636,Naive,Cluster 1
560,-0.559231821645965,Naive,Cluster 1
561,-0.690113164497763,Naive,Cluster 1
562,-0.534851581954636,Naive,Cluster 1
563,-1.26407165408631,Naive,Cluster 1
564,-1.29568257605236,Naive,Cluster 1
565,-1.43639696904268,Naive,Cluster 1
566,-1.20083824389199,Naive,Cluster 1
567,-1.22965451085114,Naive,Cluster 1
568,-0.903134533009027,Naive,Cluster 1
569,-0.547894058942929,Naive,Cluster 1
570,-1.1099726476046,Naive,Cluster 1
571,-0.876199068202234,Naive,Cluster 1
572,-1.19435681065887,Naive,Cluster 1
573,-1.17671771434065,Naive,Cluster 1
574,-0.77439315407453,Naive,Cluster 1
575,-0.774212815760636,Naive,Cluster 1
576,-1.13920926309686,Naive,Cluster 1
577,-1.01618338512309,Naive,Cluster 1
578,-1.29601611745514,Naive,Cluster 1
579,-0.515308821654949,Naive,Cluster 1
580,-1.13730562836201,Naive,Cluster 1
581,-1.17749853127473,Naive,Cluster 1
582,-0.683528786666419,Naive,Cluster 1
583,-0.896119761369166,Naive,Cluster 1
584,-0.610474172830049,Naive,Cluster 1
585,-0.668556980509125,Naive,Cluster 1
586,-0.725884422459608,Naive,Cluster 1
587,-0.177595191172613,Naive,Cluster 1
588,-0.185826530913355,Naive,Cluster 1
589,0.178447063766136,Naive,Cluster 1
590,-1.11927599758593,Naive,Cluster 1
591,-0.737305609276632,Naive,Cluster 1
592,-0.604510156831785,Naive,Cluster 1
593,-0.44536994343443,Naive,Cluster 1
594,-0.101235700468303,Naive,Cluster 1
595,0.0965303890686438,Naive,Cluster 1
596,-0.336087754696399,Naive,Cluster 1
597,-1.34372431993102,Naive,Cluster 1
598,-1.23668508791365,Naive,Cluster 1
599,-1.32266291516936,Naive,Cluster 1
600,-1.3352418472826,Naive,Cluster 1
601,-0.911082750453803,Naive,Cluster 1
602,-1.12885332279682,Naive,Cluster 1
603,-1.20527829786404,Naive,Cluster 1
604,-0.921565729579162,Naive,Cluster 1
605,-1.18521460251673,Naive,Cluster 1
606,-1.06682287295217,Naive,Cluster 1
607,-1.26058538905509,Naive,Cluster 1
608,-0.669231535327191,Naive,Cluster 1
609,-1.17384641914363,Naive,Cluster 1
610,-0.914544972803364,Naive,Cluster 1
611,-1.29418077821317,Naive,Cluster 1
612,-1.28004463069517,Naive,Cluster 1
613,-1.11785419057921,Naive,Cluster 1
614,-1.205465691429,Naive,Cluster 1
615,-1.01219374750326,Naive,Cluster 1
616,-1.31059776163334,Naive,Cluster 1
617,-1.1541388074756,Naive,Cluster 1
618,-0.858568368937634,Naive,Cluster 1
619,-1.24514494407685,Naive,Cluster 1
620,-0.979437475099046,Naive,Cluster 1
621,-1.26827470442615,Naive,Cluster 1
622,-0.317416605694613,Naive,Cluster 1
623,-1.04601169199556,Naive,Cluster 1
624,-0.999517547338334,Naive,Cluster 1
625,-1.11978079105306,Naive,Cluster 1
626,-1.08924596549795,Naive,Cluster 1
627,-1.03311622399763,Naive,Cluster 1
628,-1.10934737351101,Naive,Cluster 1
629,-0.954042784382198,Naive,Cluster 1
630,-0.65728047234563,Naive,Cluster 1
631,-0.914619494825153,Naive,Cluster 1
632,-0.855329788849089,Naive,Cluster 1
633,-0.995753830815872,Naive,Cluster 1
634,-1.1282749909735,Naive,Cluster 1
