"","gene","cluster4"
"Gm26008","Gm26008",1
"ENSMUSG00000097138","ENSMUSG00000097138",1
"Gimap3","Gimap3",1
"Gsdme","Gsdme",1
"Osbpl3","Osbpl3",1
"Osbpl3_1","Osbpl3_1",1
"Osbpl3_2","Osbpl3_2",1
"ENSMUSG00000099538","ENSMUSG00000099538",1
"Znrf2","Znrf2",1
"Nod1_1","Nod1_1",1
"Herc3_3","Herc3_3",1
"Tnip3_4","Tnip3_4",1
"Il12rb2_2","Il12rb2_2",1
"Cd8b1_2","Cd8b1_2",1
"Cd8a_2","Cd8a_2",1
"Sema4f","Sema4f",1
"1600020E01Rik","1600020E01Rik",1
"Pcbp1","Pcbp1",1
"Nfu1_1","Nfu1_1",1
"Bmp10","Bmp10",1
"Nup210_1","Nup210_1",1
"ENSMUSG00000093559_1","ENSMUSG00000093559_1",1
"ENSMUSG00000093559_5","ENSMUSG00000093559_5",1
"Ppp4r2","Ppp4r2",1
"Ppp4r2_1","Ppp4r2_1",1
"Lrrn1","Lrrn1",1
"Rpl36-ps12","Rpl36-ps12",1
"Itpr1","Itpr1",1
"Gm16433","Gm16433",1
"Gm16433_2","Gm16433_2",1
"Gm16433_4","Gm16433_4",1
"Gm16433_5","Gm16433_5",1
"ENSMUSG00000102192","ENSMUSG00000102192",1
"ENSMUSG00000090576","ENSMUSG00000090576",1
"ENSMUSG00000090576_1","ENSMUSG00000090576_1",1
"ENSMUSG00000090576_2","ENSMUSG00000090576_2",1
"ENSMUSG00000090576_3","ENSMUSG00000090576_3",1
"0610040F04Rik","0610040F04Rik",1
"0610040F04Rik_1","0610040F04Rik_1",1
"Arl8b","Arl8b",1
"Edem1_2","Edem1_2",1
"ENSMUSG00000097671","ENSMUSG00000097671",1
"Irak2","Irak2",1
"Irak2_2","Irak2_2",1
"Atg7_1","Atg7_1",1
"Atg7_2","Atg7_2",1
"Vgll4_6","Vgll4_6",1
"Mkrn2os","Mkrn2os",1
"Dcp1b_1","Dcp1b_1",1
"Il17ra","Il17ra",1
"Tuba8","Tuba8",1
"Klrg1","Klrg1",1
"Klrg1_1","Klrg1_1",1
"Klrg1_2","Klrg1_2",1
"Klrg1_4","Klrg1_4",1
"Nanog_1","Nanog_1",1
"Emg1_1","Emg1_1",1
"Lrrc23","Lrrc23",1
"Ing4","Ing4",1
"Cracr2a_2","Cracr2a_2",1
"Klrb1c","Klrb1c",1
"2310001H17Rik","2310001H17Rik",1
"Klrd1","Klrd1",1
"Klrc2","Klrc2",1
"Klrc2_1","Klrc2_1",1
"Etv6_2","Etv6_2",1
"Lrp6_1","Lrp6_1",1
"Gpr19_1","Gpr19_1",1
"ENSMUSG00000082691","ENSMUSG00000082691",1
"Gm6728_1","Gm6728_1",1
"Gm6728_2","Gm6728_2",1
"Eps8","Eps8",1
"Ldhb","Ldhb",1
"Ldhb_1","Ldhb_1",1
"Ldhb_2","Ldhb_2",1
"ENSMUSG00000086643","ENSMUSG00000086643",1
"4930479D17Rik","4930479D17Rik",1
"Dennd5b_1","Dennd5b_1",1
"Resf1","Resf1",1
"Cacng7","Cacng7",1
"Tarm1","Tarm1",1
"Tarm1_1","Tarm1_1",1
"ENSMUSG00000092576","ENSMUSG00000092576",1
"Snord23","Snord23",1
"Rsph6a_2","Rsph6a_2",1
"Ifnl3","Ifnl3",1
"Krtdap","Krtdap",1
"Gm22302_5","Gm22302_5",1
"Uri1","Uri1",1
"Lhb","Lhb",1
"Tph1_1","Tph1_1",1
"Ano5","Ano5",1
"Atp10a","Atp10a",1
"Atp10a_1","Atp10a_1",1
"Atp10a_2","Atp10a_2",1
"ENSMUSG00000068480_1","ENSMUSG00000068480_1",1
"1810008I18Rik","1810008I18Rik",1
"Pcsk6","Pcsk6",1
"Pcsk6_1","Pcsk6_1",1
"ENSMUSG00000093405","ENSMUSG00000093405",1
"ENSMUSG00000093405_2","ENSMUSG00000093405_2",1
"ENSMUSG00000093405_3","ENSMUSG00000093405_3",1
"Mctp2_1","Mctp2_1",1
"Mctp2_2","Mctp2_2",1
"1500012K07Rik","1500012K07Rik",1
"1500012K07Rik_1","1500012K07Rik_1",1
"Sv2b","Sv2b",1
