Cluster 1,Cluster 2,Cluster 3,Cluster 4
Hif1a,Cyp2d22,1700001G11Rik,
Ifi27l2a,ENSMUSG00000116280,ENSMUSG00000118437,
Serpina3f,Nfam1,Cdca2,
Serpina3g,Myc,Egr3,
Gskip,Il7r,Gm2237,
Zfp36l1,Lrrc6,Kcnk5,
Asxl2,Trio,Tnfsf11,
Asap1,Ptk2,Zfp219,
Gtse1,Jrk,Vwa8,
Sub1,Gm23747,Diaph3,
ENSMUSG00000096173,Grhl2,Gm30108,
ENSMUSG00000115969,Prickle1,Trav9d-1,
Ubr5,Amigo2,Trav10d,
Pkhd1l1,Olfr285,Trav9n-1,
ENSMUSG00000097150,Adcy6,Trav13n-1,
Trps1,Kcnh3,Traj52,
Enpp2,Slc11a2,2610528A11Rik,
ENSMUSG00000116311,Galnt6,ENSMUSG00000090709,
ENSMUSG00000103520,Rpl8,St14,
Iqank1,Apol7b,Il18,
Nrbp2,Apol7e,Dixdc1,
Zbtb20,Acvrl1,Poglut3,
Gm9968,Csf2rb2,Hmgn3,
Tigit,Mfng,Slc37a2,
Cd200r1,Rpl3,Hyal2,
Cd200,Grap2,Nrgn,
Ube2l3,Selenop,Gnai2,
Alcam,4930404I05Rik,ENSMUSG00000074284,
Ttc3,Spice1,ENSMUSG00000111323,
Samsn1,Cd200r3,Sesn3,
Mir155hg,Ccdc116,Endod1,
Bcl6,Trat1,Kdm4d,
Litaf,ENSMUSG00000085903,Ubash3b,
Heg1,Klhl6,Izumo1r,
Ildr1,ENSMUSG00000116659,Sema7a,
Rhoq,ENSMUSG00000086944,ENSMUSG00000097604,
Apobec2,Igf2bp2,Plscr1,
Flywch2,Hes1,ENSMUSG00000110972,
Ptprs,ENSMUSG00000116581,Nlrx1,
ENSMUSG00000117250,Nrros,Trim42,
Ankrd12,Zfp820,Icam5,
Lpin2,B430306N03Rik,4930422M22Rik,
Ier3,Ston1,Ap1m2,
Ccr6,Satb1,ENSMUSG00000104383,
Lclat1,ENSMUSG00000102973,Tmprss13,
ENSMUSG00000081492,ENSMUSG00000102212,Tle3,
Eif2ak2,ENSMUSG00000103779,ENSMUSG00000111739,
Runx2,ENSMUSG00000102744,Ryk,
Zfp52,ENSMUSG00000103216,Coro2b,
Pkdcc,ENSMUSG00000103753,Eepd1,
Fkbp5,ENSMUSG00000103358,Pif1,
Reep2,Abca17,C2cd4b,
Pcdhga12,Plin5,Ccnb2,
Ap3s1,Catsperd,ENSMUSG00000098161,
Setbp1,Rps2,Vill,
Nfatc1,Arhgdig,ENSMUSG00000097223,
ENSMUSG00000117805,Cd2ap,Gorasp1,
Cables1,Cyp39a1,ENSMUSG00000111792,
Ankrd29,Enpp5,Ccr8,
Casp7,Prkd3,D830035M03Rik,
Jak2,ENSMUSG00000117440,Mmp10,
Pdcd1lg2,Tcp11,Gm26189,
Zfta,Haao,Serpinf1,
Rtn3,Rpl10a,ENSMUSG00000050538,
Pyroxd2,Bnip5,Mir22hg,
Dagla,Sik1,Caskin2,
Scd2,Rps28,Rel,
A430093F15Rik,Gramd3,Fkbp10,
AW112010,Adrb2,Taok1,
Ms4a4b,Nedd4l,Kcnmb1,
Ms4a6d,Gm23119,Tnfrsf13b,
Gnaq,Smad7,Timp2,
ENSMUSG00000075268,ENSMUSG00000097141,Havcr2,
Trim8,Zfp516,Pipox,
Gcnt1,Cd226,Slc46a1,
Ide,Bambi,ENSMUSG00000084884,
Gm8663,Gm9493,Mpp2,
,ENSMUSG00000117959,Gm39822,
,Pdlim1,Nf1,
,Dntt,Rnf135,
,BC037704,Cct6b,
,Add3,Slfn4,
,ENSMUSG00000117704,Wnt3,
,ENSMUSG00000024869,Kctd11,
,,Ypel2,
,,Smurf2,
,,Tm4sf5,
,,Fam20a,
