,gene,Geneid,genename,dfin_change,dfin_log2FC,dfin_padj,dfin_Change Metric
102,102,ENSMUSG00000002007,Srpk3,Down,-22.5485462053863,1.62639787507252e-05,-107.979873807581
103,103,ENSMUSG00000040189,Odad1,Down,-21.4367462523118,1.06378452914438e-05,-106.608075952061
104,104,ENSMUSG00000024124,Prss30,Down,-21.7823706781903,2.12687486489603e-05,-101.772856992078
105,105,ENSMUSG00000021567,Nkd2,Down,-22.63127133167,3.93534240663668e-05,-99.6911456867549
106,106,ENSMUSG00000056367,Actr3b,Down,-20.6169329130037,1.46739521565124e-05,-99.6509742032026
107,107,ENSMUSG00000104140,ENSMUSG00000104140,Down,-22.3518100014618,3.48425662500578e-05,-99.6419072813882
108,108,ENSMUSG00000085846,ENSMUSG00000085846,Down,-23.6269217703387,6.62791470264401e-05,-98.7280008393488
109,109,ENSMUSG00000111843,4933432G23Rik,Down,-22.8310952674057,5.0653202041021e-05,-98.0685289747752
110,110,ENSMUSG00000107128,ENSMUSG00000107128,Down,-22.4647939394094,4.73632653626482e-05,-97.1503125198204
111,111,ENSMUSG00000106961,ENSMUSG00000106961,Down,-27.9481247289276,0.000375378540200413,-95.7371553239005
112,112,ENSMUSG00000112642,Gm17849,Down,-20.4604426502456,2.18963161648846e-05,-95.3380707943725
113,113,ENSMUSG00000024600,Slc27a6,Down,-22.6407326183361,6.70775977748928e-05,-94.4893429035354
114,114,ENSMUSG00000085173,Gm2869,Down,-27.9423805449047,0.000443709649799413,-93.6880391961114
115,115,ENSMUSG00000090941,ENSMUSG00000090941,Down,-19.5414372649775,1.71596509033811e-05,-93.1245541943572
116,116,ENSMUSG00000019852,Arfgef3,Down,-21.5805076437347,5.51281282092044e-05,-91.9033271964727
117,117,ENSMUSG00000058325,Dock1,Down,-22.2596661004587,7.80481778662993e-05,-91.43463323809
118,118,ENSMUSG00000029765,Plxna4,Down,-24.1179697739694,0.000225322434820273,-87.9629523832102
119,119,ENSMUSG00000104342,ENSMUSG00000104342,Down,-22.5427913514131,0.000129823176283746,-87.6158897248606
120,120,ENSMUSG00000113128,ENSMUSG00000113128,Down,-23.4124628832942,0.000218106056915886,-85.7208059608388
121,121,ENSMUSG00000026365,Cfh,Down,-27.1345086868832,0.000746776604309652,-84.844434017528
122,122,ENSMUSG00000004383,Large1,Down,-20.1851392183568,6.78632750535483e-05,-84.1390315785011
123,123,ENSMUSG00000022658,Tagln3,Down,-26.9009473807851,0.000767907963832646,-83.7881340821825
124,124,ENSMUSG00000022419,Deptor,Down,-23.3818292007812,0.000261059783865869,-83.7831739071234
125,125,ENSMUSG00000030465,Psd3,Down,-20.5944128785406,8.86632306730212e-05,-83.4538423821283
126,126,ENSMUSG00000021880,Rnase6,Down,-23.0192423850582,0.000319604676263754,-80.4611577046103
127,127,ENSMUSG00000001520,Nrip2,Down,-21.8336450928892,0.000214778790297961,-80.0859981454911
128,128,ENSMUSG00000052534,Pbx1,Down,-18.353184241543,4.56532366118069e-05,-79.6625179353314
129,129,ENSMUSG00000038044,Cct8l1,Down,-26.4708535849798,0.000987916930313119,-79.552315527916
130,130,ENSMUSG00000109317,ENSMUSG00000109317,Down,-23.5756317814393,0.00046850007814569,-78.4901229686589
131,131,ENSMUSG00000115553,ENSMUSG00000115553,Down,-22.6718848797414,0.000377939999276228,-77.5962749576842
132,132,ENSMUSG00000063851,Rnf183,Down,-26.1177299989591,0.00123210815139401,-75.9856483095096
133,133,ENSMUSG00000071714,Csf2rb2,Down,-20.7323144875186,0.000344906585225554,-71.7814616349595
134,134,ENSMUSG00000050468,Astl,Down,-19.8311139997999,0.000242496026703935,-71.6953346832488
