,gene,Geneid,genename,change,log2FC,padj,Change Metric
69,69,ENSMUSG00000049321,Zfp2,Down,-20.2574096164828,0.000120653600727641,-79.3778434655972
70,70,ENSMUSG00000028139,Riiad1,Down,-20.9764136871051,0.000285017730509161,-74.3640740685754
71,71,ENSMUSG00000037907,Ankrd13b,Down,-16.994527912089,4.32600593957706e-05,-74.1626393914606
72,72,ENSMUSG00000086404,Gm6787,Down,-20.0935326879556,0.00039603735395018,-68.3634998791751
73,73,ENSMUSG00000047293,Gpr15,Down,-9.44863891721082,4.62734574858668e-07,-59.8539910594725
74,74,ENSMUSG00000111358,ENSMUSG00000111358,Down,-20.4705237237929,0.00120668145449368,-59.7413271373536
75,75,ENSMUSG00000097271,ENSMUSG00000097271,Down,-19.9975869307356,0.00135891895708952,-57.3292110545698
76,76,ENSMUSG00000089936,ENSMUSG00000089936,Down,-20.7751973341151,0.00188102873856177,-56.6249727799078
77,77,ENSMUSG00000046841,Ckap4,Down,-14.9663722852662,0.000177089589611928,-56.1509398329316
78,78,ENSMUSG00000044231,Nhlrc1,Down,-15.3926286795892,0.00136051966625779,-44.1198173322569
79,79,ENSMUSG00000091722,Siah3,Down,-16.4997167431789,0.00740505278743302,-35.1521819096694
80,80,ENSMUSG00000116438,Gm18911,Down,-15.2767265399878,0.00782120081545453,-32.1838855992821
81,81,ENSMUSG00000097760,6030442K20Rik,Down,-16.270267981693,0.0111598873583912,-31.76509806483
82,82,ENSMUSG00000053931,Cnn3,Down,-8.01345582833621,0.000233816666923877,-29.0978560658754
83,83,ENSMUSG00000103105,ENSMUSG00000103105,Down,-8.7954603836962,0.000732506490365359,-27.5754264485466
84,84,ENSMUSG00000115771,ENSMUSG00000115771,Down,-8.29528675698766,0.00161919315238143,-23.1496678806982
85,85,ENSMUSG00000055633,Zfp580,Down,-7.67244449327659,0.00109002313822918,-22.7301100196171
86,86,ENSMUSG00000107894,ENSMUSG00000107894,Down,-10.0659151676022,0.00787207482147101,-21.1777874994425
87,87,ENSMUSG00000096551,Trav10,Down,-8.41629111064831,0.00307541214339238,-21.1425369160559
88,88,ENSMUSG00000107254,ENSMUSG00000107254,Down,-8.81455738875431,0.00510643911025036,-20.2019240272083
89,89,ENSMUSG00000031970,Dbndd1,Down,-15.0553475851425,0.0613779594199733,-18.2468938985203
90,90,ENSMUSG00000017897,Eya2,Down,-5.9678599975605,0.00120614693068252,-17.4177948997551
91,91,ENSMUSG00000071068,Treml2,Down,-5.59039597545414,0.00119878429898864,-16.3309942987909
92,92,ENSMUSG00000085776,5430402O13Rik,Down,-7.88898316699535,0.00920112625761278,-16.0632241542652
93,93,ENSMUSG00000003379,Cd79a,Down,-8.48475782178611,0.0128483386798036,-16.045975412521
94,94,ENSMUSG00000105402,Gm3716,Down,-6.9749251068476,0.00507400668266086,-16.0050046782973
95,95,ENSMUSG00000021566,Slc6a19os,Down,-6.90050501916224,0.00487744551990141,-15.9526397600615
96,96,ENSMUSG00000117059,ENSMUSG00000117059,Down,-5.65289473262945,0.00233322825282116,-14.8786607297118
97,97,ENSMUSG00000106620,Trav7-5,Down,-7.18848111810327,0.00943599773221405,-14.5581994597389
98,98,ENSMUSG00000070287,Slc35g2,Down,-9.97075504115667,0.0530774370655263,-12.7136106032948
99,99,ENSMUSG00000084860,ENSMUSG00000084860,Down,-7.63054446862353,0.0270826808247858,-11.9594160491837
100,100,ENSMUSG00000105784,ENSMUSG00000105784,Down,-5.1127881512694,0.00540209057624273,-11.5929308473439
